Name,Added by,Awards,Block,Points,Classificação do jogador,Adicionado por,Wzrost,Matches,Wyświetlenia,Pozycja,Spike,Player ranking,Zasięg w ataku,Nacionalidade,Visualizações,Data urodzenia,Posição,Ranking in 2023,Nationality,Ranking,Position,Ranking siatkarza,Waga,Last activity,Birthdate,Height,Dominant hand,Narodowość,Altura,Ranking trenera,Zasięg w bloku,Dodano przez,Data de nascimento,Views,Peso,Tournaments,Ranking w 2023,Weight,Ręka,Coach ranking,Classificação de treinador
Ho-Chul Kim,franzvinci01,8,,2008.40,,,,301,,,,321,,,,,,,South Korea,,Setter,,,,1955-02-05,175,Left,,,,,,,5087,,141,,68,,205,
Aleksandr Korneev,Volleybox,1,339,2008.15,,,,118,,,348,,,,,,,,Russia,322,Outside Hitter,,,,1980-09-11,200,Right,,,,,,,4806,,55,,96,,,
Boyan Yordanov,Volleybox,9,335,2004.74,,,,440,,,358,,,,,,,209,Bulgaria,323,Opposite,,,,1983-03-12,197,Left,,,,,,,14308,,96,,86,,,
Pedro Rangel,soidensir3,15,324,2002.80,,,,199,,,340,,,,,,,262,Mexico,324,Setter,,,,1988-09-16,192,,,,,,,,14357,,76,,85,,,
Andrej Kravárik,Volleybox,8,350,1993.85,,,,492,,,360,325,,,,,,,Slovakia,,Opposite,,,,1971-07-28,204,,,,,,,,8501,,119,,97,,1542,
Ventzislav Simeonov,Volleybox,5,318,1993.35,,,,235,,,356,326,,,,,,,Italy,,Opposite,,,,1977-02-03,200,,,,,,,,6419,,60,,103,,3929,
Łukasz Wiśniewski,,,,1983.85,,,198,,11169,Środkowy,,,343,,,1989-02-03,,,,327,,,104,,,,,Polska,,,320,Volleybox,,,,,270,,Prawa,,
Marlon Muraguti,Volleybox,2,289,1982.30,,,,338,,,310,,,,,,,543,Brazil,328,Setter,,,,1977-07-27,188,,,,,,,,10234,,75,,82,,,
Daniele Sottile,Volleybox,0,310,1976.40,,,,540,,,332,,,,,,,143,Italy,329,Setter,,,,1979-08-17,186,,,,,,,,13489,,73,,73,,,
Dražen Luburić,przemek16,12,331,1971.99,,,,300,,,360,,,,,,,,Serbia,330,Opposite,,,,1993-11-02,205,Right,,,,,,,28062,,63,,106,,,
Oreol Camejo,Volleybox,7,350,1967.35,,,,345,,,373,,,,,,,270,Cuba,331,Outside Hitter,,,,1986-07-22,207,Right,,,,,,,51628,,71,,94,,,
Hendrik Jan Held,Volleybox,0,,1964.75,,,,243,,,,332,,,,,,,Netherlands,,Middle-blocker,,,,1967-11-12,201,,,,,,,,6847,,95,,93,,1474,
Selçuk Keskin,Volleybox,5,325,1960.89,,,,277,,,335,,,,,,,240,Turkey,333,Setter,,,,1982-01-15,193,,,,,,,,10969,,81,,93,,,
Viljar Loor,John Doe,0,,1958.80,,,,12,,,,,,,,,,,Estonia,334,Middle-blocker,,,,1953-10-01,196,,,,,,,,1204,,36,,96,,,
Giórgos Stefánou,Charálampos Andreópoulos,7,295,1954.79,,,,578,,,305,335,,,,,,,Greece,,Libero,,,,1981-01-12,187,,,,,,,,5772,,103,,82,,4019,
Alen Šket,Volleybox,4,320,1947.65,,,,316,,,350,,,,,,,98,Slovenia,336,Outside Hitter,,,,1988-03-28,205,,,,,,,,15139,,90,,92,,,
Theo Lopes,,6,324,1942.30,,,,254,,,345,,,,,,,182,Brazil,337,Opposite,,,1 month ago,1983-08-31,200,,,,,,,,23341,,71,,100,,,
Lukas Kampa,Volleybox,4,320,1937.55,,,,395,,,335,,,,,,,382,Germany,338,Setter,,,,1986-11-29,196,Right,,,,,,,20797,,85,,90,,,
Kawika Shoji,Volleybox,5,315,1934.80,,,,270,,,331,,,,,,,,USA,339,Setter,,,,1987-11-11,190,,,,,,,,22709,,59,,79,,,
Thomas Hoff,Volleybox,5,,1934.25,,,,199,,,,,,,,,,,USA,340,Middle-blocker,,,,1973-06-09,203,,,,,,,,5939,,54,,,,,
Ivan Yakovlev,Volleybox,13,350,1933.25,,,,344,,,363,,,,,,,,Russia,341,Middle-blocker,,,,1995-04-17,207,Right,,,,,,,17533,,45,,86,,,
Raúl Diago,Volleybox,6,,1933.20,,,,1,,,,,,,,,,,Cuba,342,Setter,,,,1967-08-01,192,,,,,,,,6049,,26,,90,,,
Thomas Jaeschke,Wilfredo_is_Marshall,18,330,1928.50,,,,345,,,348,,,,,,,2,USA,343,Outside Hitter,,,,1993-09-04,200,,,,,,,,38463,,48,,84,,,
Ali Peçen,przemek16,1,,1928.34,,,,18,,,,,,,,,,,Turkey,344,Libero,,,,1969-01-30,192,,,,,,,,3235,,62,,,,,
Nikólaos Smaragdís,Volleybox,2,318,1926.80,,,,573,,,328,,,,,,,,Greece,345,Middle-blocker,,,,1982-02-12,202,,,,,,,,5426,,109,,89,,,
Lucas De Deus,mvs,5,282,1920.30,,,,264,,,301,,,,,,,71,Brazil,346,Libero,,,,1987-01-26,183,,,,,,,,9090,,74,,80,,,
Nikolay Uchikov,Volleybox,9,330,1919.35,,,,293,,,355,,,,,,,298,Bulgaria,347,Opposite,,,,1986-04-13,207,,,,,,,,13668,,80,,100,,,
Nuno Pinheiro,Volleybox,4,325,1917.80,,,,516,,,337,,,,,,,,Portugal,348,Setter,,,,1984-12-31,193,,,,,,,,8357,,83,,89,,,
Hee-Wan Lee,slintyen,10,,1917.75,,,,97,,,,349,,,,,,,South Korea,,Setter,,,,1956-01-15,187,,,,,,,,1640,,108,,,,273,
Stephen Boyer,Volleybox,10,334,1917.70,,,,395,,,355,,,,,,,270,France,350,Opposite,,,,1996-04-10,196,,,,,,,,88334,,65,,90,,,
Graham Vigrass,soidensir3,15,330,1916.10,,,,295,,,354,,,,,,,,Canada,351,Middle-blocker,,,,1989-06-17,205,Right,,,,,,,17825,,66,,97,,,
David Konečný,Volleybox,6,330,1914.00,,,,400,,,351,,,,,,,,Czech Republic,352,Opposite,,,,1982-10-10,193,,,,,,,,10591,,65,,94,,,
Max Günthör,Volleybox,6,325,1906.70,,,,90,,,350,,,,,,,,Germany,353,Middle-blocker,,,,1985-08-09,207,,,,,,,,5862,,57,,93,,,
Οsniel Melgarejo,Lefos95,15,346,1905.15,,,,188,,,363,,,,,,,57,Cuba,354,Outside Hitter,,,,1997-12-18,198,Right,,,,,,,22621,,51,,94,,,
Renan Buiatti,Volleybox,5,345,1903.10,,,,339,,,360,,,,,,,242,Brazil,355,Opposite,,,,1990-01-10,217,Left,,,,,,,22107,,57,,110,,,
Aleksey Samoylenko,Volleybox,4,342,1902.50,,,,439,,,356,,,,,,,412,Russia,356,Middle-blocker,,,,1985-06-23,210,,,,,,,,8491,,58,,106,,,
Pablo Crer,Volleybox,6,330,1897.65,,,,207,,,350,,,,,,,309,Argentina,357,Middle-blocker,,,,1989-06-12,205,,,,,,,,11386,,74,,78,,,
Patryk Czarnowski,,,,1897.10,,,202,,7053,Środkowy,,,365,,,1985-01-11,,,,358,,,98,,,,,Polska,,,334,Volleybox,,,,,,,,,
Takeshi Nagano,soidensir3,11,300,1895.00,,,,290,,,315,,,,,,,,Japan,359,Libero,,,,1985-07-11,176,,,,,,,,5684,,75,,65,,,
Loïc De Kergret,przemek16,1,315,1894.35,,,,512,,,335,,,,,,,,France,360,Setter,,,,1970-08-20,193,,,,,,,,8221,,65,,84,,,
Yuri Starunsky,John Doe,0,,1893.60,,,,24,,,,361,,,,,,,Ukraine,,Setter,,,,1945-04-17,189,,,,,,,,779,,54,,,,623,
Martin Lébl,przemek16,6,334,1892.05,,,,311,,,346,,,,,,,,Czech Republic,362,Middle-blocker,,,,1980-04-12,201,,,,,,,,9562,,63,,90,,,
Ferdinand Tille,Volleybox,8,316,1891.88,,,,282,,,338,,,,,,,271,Germany,363,Libero,,,,1988-12-08,185,,,,,,,,11292,,68,,75,,,
Dejan Vincić,Volleybox,2,329,1883.99,,,,363,,,339,,,,,,,164,Slovenia,364,Setter,,,,1986-09-15,200,,,,,,,,18838,,100,,91,,,
Kévin Tillie,Volleybox,4,325,1882.35,,,,364,,,345,,,,,,,,France,365,Outside Hitter,,,,1990-11-02,198,,,,,,,,32014,,72,,85,,,
Michele Pasinato,soidensir3,0,,1876.70,,,,2,,,,,,,,,,,Italy,366,Opposite,,,,1969-03-13,196,,,,,,,,3463,,50,,84,,,
Denis Biryukov,Volleybox,2,324,1874.70,,,,457,,,352,,,,,,,,Russia,367,Outside Hitter,,,,1988-12-08,202,,,,,,,,11146,,73,,93,,,
Roman Bragin,przemek16,0,305,1874.15,,,,482,,,320,,,,,,,,Russia,368,Libero,,,,1987-04-17,187,,,,,,,,5332,,69,,82,,,
Simon Van De Voorde,Volleybox,5,327,1873.25,,,,380,,,348,,,,,,,379,Belgium,369,Middle-blocker,,,,1989-12-19,208,,,,,,,,15151,,75,,85,,,
Oleg Antonov,Volleybox,2,,1870.49,,,,571,,,,,,,,,,362,Italy,370,Outside Hitter,,,,1988-07-28,198,,,,,,,,19936,,69,,,,,
Andrei Kuznetsov,Volleybox,0,,1866.30,,,,16,,,,,,,,,,,Russia,371,Opposite,,,,1966-04-23,198,,,,,,,,4098,,41,,93,,,
Giórgos Ntrákovits,lmerkou,1,330,1866.06,,,,157,,,345,,,,,,,,Greece,372,Opposite,,,,1968-10-20,200,,,,,,,,2441,,62,,103,,,
Aleksey Spiridonov,Volleybox,1,328,1863.00,,,,322,,,347,,,,,,,392,Russia,373,Outside Hitter,,,,1988-06-26,196,Right,,,,,,,17083,,63,,96,,,
Laurent Tillie,Volleybox,0,,1857.30,,,,1134,,,,374,,,,,,,France,,Outside Hitter,,,,1963-12-01,193,,,,,,,,16330,,155,,84,,85,
Nikola Kovačević,Volleybox,3,340,1857.15,,,,444,,,350,,,,,,,309,Serbia,375,Outside Hitter,,,,1983-02-14,193,,,,,,,,25194,,85,,78,,,
Sergey Orlenko,Volleybox,1,340,1855.10,,,,180,,,354,376,,,,,,,Russia,,Middle-blocker,,,,1971-02-08,203,,,,,,,,2360,,80,,87,,1502,
Tiago Brendle,Volleybox,9,300,1852.10,,,,301,,,315,,,,,,,386,Brazil,377,Libero,,,,1985-10-21,190,,,,,,,,8965,,61,,82,,,
Mários Gkioúrdas,Volleybox,6,341,1851.60,,,,341,,,356,378,,,,,,,Greece,,Outside Hitter,,,,1973-03-02,202,,,,,,,,6338,,84,,90,,,
Oleg Moliboga,slintyen,0,,1850.00,,,,24,,,,379,,,,,,,Russia,,Universal,,,,1953-02-27,193,,,,,,,,1023,,70,,86,,309,
Giovanni Errichiello,John Doe,1,,1847.80,,,,20,,,,380,,,,,,,Italy,,Middle-blocker,,,,1960-06-12,194,,,,,,,,2036,,47,,83,,,
Marcus Nilsson,Volleybox,13,350,1847.38,,,,378,,,360,,,,,,,537,Sweden,381,Opposite,,,,1982-10-07,208,,,,,,,,19529,,79,,95,,,
Jean-François Exiga,Volleybox,3,312,1847.15,,,,581,,,320,,,,,,,,France,382,Libero,,,,1982-03-09,176,,,,,,,,5494,,69,,75,,,
Simon Tischer,Volleybox,3,328,1843.05,,,,303,,,346,,,,,,,,Germany,383,Setter,,,,1982-04-24,194,,,,,,,,8711,,75,,88,,,
Gabriele Nelli,soidensir3,1,320,1841.79,,,,522,,,355,,,,,,,96,Italy,384,Opposite,,,,1993-12-04,210,,,,,,,,17958,,62,,100,,,
Frank Depestele,,6,330,1841.30,,,,523,,,335,385,,,,,,,Belgium,,Setter,,,2 weeks ago,1977-09-03,191,,,,,,,,14232,,105,,96,,1748,
Stijn D'Hulst,Volleybox,5,305,1840.15,,,,444,,,321,,,,,,,22,Belgium,386,Setter,,,,1991-04-24,187,,,,,,,,12063,,78,,75,,,
Alejandro Spajić,Volleybox,3,340,1837.65,,,,137,,,360,,,,,,,,Argentina,387,Middle-blocker,,,,1976-05-07,204,,,,,,,,5028,,74,,95,,,
Oliver Venno,Volleybox,10,335,1828.30,,,,248,,,355,,,,,,,362,Estonia,388,Opposite,,,,1990-05-23,210,,,,,,,,23548,,93,,105,,,
Antoine Brizard,Kondes,7,310,1826.60,,,,432,,,347,,,,,,,21,France,389,Setter,,,,1994-05-22,196,Right,,,,,,,34571,,62,,96,,,
Amir Ghafour,Volleybox,9,334,1826.50,,,,137,,,354,,,,,,,75,Iran,390,Opposite,,,,1991-06-06,202,Right,,,,,,,30063,,51,,90,,,
Anatoliy Polishchuk,John Doe,0,,1826.00,,,,21,,,,,,,,,,,Ukraine,391,Outside Hitter,,,,1950-01-11,196,,,,,,,,567,,27,,,,,
Damian Wojtaszek,Volleybox,4,305,1825.45,,,,350,,,315,,,,,,,,Poland,392,Libero,,,,1988-09-07,180,,,,,,,,9409,,74,,76,,,
Paweł Woicki,Volleybox,2,305,1824.24,,,,527,,,315,393,,,,,,487,Poland,,Setter,,,,1983-06-29,183,,,,,,,,9149,,103,,76,,998,
Dante Boninfante,Volleybox,0,315,1823.65,,,,620,,,334,394,,,,,,,Italy,,Setter,,,,1977-03-07,194,,,,,,,,8850,,86,,75,,1147,
Wojciech Grzyb,Volleybox,0,332,1821.90,,,,237,,,359,,,,,,,,Poland,395,Middle-blocker,,,,1981-01-04,206,,,,,,,,4837,,69,,101,,,
Oleksandr Sorokalet,John Doe,0,,1820.80,,,,96,,,,,,,,,,,Ukraine,396,Outside Hitter,,,,1959-03-27,194,,,,,,,,1737,,43,,89,,,
Nicholas Hoag,Volleybox,8,330,1820.60,,,,440,,,355,,,,,,,195,Canada,397,Outside Hitter,,,,1992-08-19,200,Right,,,,,,,26845,,71,,91,,,
Marcin Nowak,Volleybox,2,330,1816.64,,,,21,,,350,,,,,,,,Poland,398,Middle-blocker,,,,1975-10-17,215,,,,,,,,10754,,70,,110,,,
Aleksey Bovdui,John Doe,0,,1814.95,,,,197,,,,399,,,,,,,Russia,,Outside Hitter,,,,1977-10-26,202,,,,,,,,1315,,63,,,,2328,
Tatsuya Fukuzawa,Volleybox,9,330,1814.60,,,,213,,,355,,,,,,,,Japan,400,Outside Hitter,,,,1986-07-01,189,Right,,,,,,,17193,,69,,88,,,
Leondino Giombini,marciovolley,3,323,1813.60,,,,220,,,355,401,,,,,,,Italy,,Opposite,,,,1975-01-30,204,,,,,,,,2587,,67,,107,,4337,
Maique Nascimento,marciovolley,13,255,1809.25,,,,255,,,310,,,,,,,25,Brazil,402,Libero,,,,1997-01-16,187,,,,,,,,8342,,49,,78,,,
Barış Özdemir,John Doe,1,,1804.64,,,,233,,,,403,,,,,,,Turkey,,Outside Hitter,,,,1972-06-25,197,,,,,,,,7749,,104,,,,1623,
Laurent Capet,Volleybox,1,325,1804.60,,,,517,,,350,404,,,,,,,France,,Opposite,,,,1972-05-05,202,,,,,,,,5990,,64,,92,,4679,
Milad Ebadipour,irvolley,5,340,1803.70,,,,307,,,360,,,,,,,282,Iran,405,Outside Hitter,,,,1993-10-17,196,Right,,,,,,,30125,,65,,88,,,
Robert Szczerbaniuk,Volleybox,1,327,1803.26,,,,62,,,350,,,,,,,,Poland,406,Middle-blocker,,,,1977-05-29,199,,,,,,,,7828,,67,,89,,,
Akif Gökhan Öner,Volleybox,2,,1798.40,,,,173,,,,407,,,,,,,Turkey,,Middle-blocker,,,,1972-09-06,194,,,,,,,,6222,,101,,,,2042,
Mikhail Beketov,Volleybox,3,,1797.20,,,,82,,,,408,,,,,,,Russia,,Opposite,,,,1976-03-16,199,,,,,,,,4532,,61,,,,4364,
Rob Bontje,Volleybox,3,336,1794.60,,,,352,,,359,,,,,,,545,Netherlands,409,Middle-blocker,,,,1981-05-12,206,,,,,,,,10525,,82,,94,,,
Bernard Rajzman,Volleybox,1,,1790.75,,,,3,,,,,,,,,,,Brazil,410,Middle-blocker,,,,1957-04-25,186,,,,,,,,5708,,47,,87,,,
Marco Liefke,Volleybox,4,333,1790.03,,,,33,,,352,,,,,,,,Germany,411,Opposite,,,,1974-07-15,208,,,,,,,,4797,,69,,89,,,
Victor Sidelnikov,Volleybox,1,,1789.90,,,,273,,,,412,,,,,,,Russia,,Setter,,,,1963-01-15,190,,,,,,,,2284,,101,,,,401,
Saša Starović,Volleybox,5,321,1788.10,,,,385,,,335,,,,,,,,Serbia,413,Opposite,,,,1988-10-19,207,Left,,,,,,,15173,,64,,89,,,
Roberto Masciarelli,Volleybox,0,,1787.90,,,,57,,,,414,,,,,,,Italy,,Middle-blocker,,,,1963-09-05,196,,,,,,,,3610,,63,,,,995,
Jeff Stork,Volleybox,2,,1787.50,,,,6,,,,415,,,,,,,USA,,Setter,,,,1960-07-08,194,,,,,,,,5995,,61,,80,,4088,
Gustavo Bonatto,Volleybox,6,320,1784.75,,,,325,,,340,,,,,,,73,Brazil,416,Middle-blocker,,,,1986-01-02,215,,,,,,,,15115,,71,,113,,,
Daniele Vergnaghi,John Doe,0,315,1782.40,,,,94,,,345,,,,,,,,Italy,417,Libero,,,,1972-09-16,192,,,,,,,,1040,,58,,82,,,
Faik Samet Güneş,sait864,8,330,1781.90,,,,282,,,343,,,,,,,168,Turkey,418,Middle-blocker,,,,1993-05-27,203,,,,,,,,16067,,70,,96,,,
Yurii Hladir,Volleybox,7,340,1781.60,,,,346,,,360,,,,,,,270,Ukraine,419,Middle-blocker,,,,1984-07-08,202,Right,,,,,,,14568,,67,,96,,,
Aleksandar Okolić,przemek16,7,320,1778.64,,,,241,,,347,,,,,,,302,Serbia,420,Middle-blocker,,,,1993-06-26,205,,,,,,,,18785,,79,,90,,,
Tomasz Wójtowicz,Volleybox,3,,1777.95,,,,7,,,,,,,,,,,Poland,421,Middle-blocker,,,,1953-09-22,197,,,,,,,,5338,,34,,97,,5011,
Valeriy Komarov,Volleybox,2,310,1771.35,,,,175,,,320,,,,,,,,Russia,422,Libero,,,,1980-03-21,187,,,,,,,,5225,,57,,85,,,
Hamzeh Zarini,przemek16,7,338,1771.30,,,,28,,,350,,,,,,,382,Iran,423,Outside Hitter,,,,1985-10-18,198,,,,,,,,10013,,51,,91,,,
Krzysztof Stelmach,Volleybox,5,320,1768.65,,,,301,,,340,424,,,,,,,Poland,,Outside Hitter,,,,1967-11-11,198,,,,,,,,6044,,94,,94,,482,
Ardo Kreek,Volleybox,6,330,1768.55,,,,461,,,339,,,,,,,203,Estonia,425,Middle-blocker,,,,1986-08-07,202,,,,,,,,10385,,96,,100,,,
Raphael Margarido,Volleybox,1,303,1766.50,,,,169,,,310,,,,,,,,Brazil,426,Setter,,,,1983-04-28,185,,,,,,,,9671,,70,,83,,,
Dominique Daquin,Volleybox,2,325,1763.15,,,,409,,,352,,,,,,,,France,427,Middle-blocker,,,,1972-11-10,198,,,,,,,,4856,,59,,85,,,
Antónios Tsakirópoulos,Ronan Caroff,0,336,1761.19,,,,285,,,350,428,,,,,,,Greece,,Middle-blocker,,,,1969-07-01,205,,,,,,,,1742,,82,,93,,5346,
Jani Kovačič,lebdim,8,,1758.25,,,,216,,,,,,,,,,98,Slovenia,429,Libero,,,,1992-06-14,185,,,,,,,,13906,,73,,,,,
Nikolay Nikolov,Volleybox,6,332,1757.76,,,,278,,,350,,,,,,,314,Bulgaria,430,Middle-blocker,,,,1986-07-29,206,,,,,,,,16616,,79,,97,,,
Novica Bjelica,Volleybox,5,324,1755.50,,,,402,,,343,,,,,,,243,Serbia,431,Middle-blocker,,,,1983-02-09,202,,,,,,,,16109,,68,,86,,,
Iván Contreras,Volleybox,9,335,1752.40,,,,232,,,345,,,,,,,,Mexico,432,Opposite,,,,1974-01-29,198,,,,,,,,7503,,74,,96,,,
Alessandro Michieletto,S…k,13,355,1752.10,,,,176,,,373,,,,,,,96,Italy,433,Outside Hitter,,,,2001-12-05,211,Left,,,,,,,69893,,35,,88,,,
Fernando Hernández,Volleybox,10,339,1751.10,,,,275,,,358,,,,,,,67,Cuba,434,Opposite,,,,1989-09-11,196,Left,,,,,,,43226,,51,,93,,,
Thibault Rossard,justVolleycom,7,320,1750.70,,,,449,,,343,,,,,,,326,France,435,Outside Hitter,,,,1993-08-28,193,Left,,,,,,,25835,,54,,85,,,
Igor Kolodinskiy,Volleybox,0,325,1745.55,,,,378,,,340,,,,,,,,Russia,436,Setter,,,,1983-07-07,194,Right,,,,,,,15179,,79,,92,,,
Giancarlo Dametto,marciovolley,0,,1743.30,,,,14,,,,,,,,,,,Italy,437,Middle-blocker,,,,1959-01-06,195,,,,,,,,698,,44,,,,,
Lyubomir Ganev,Volleybox,7,,1741.70,,,,12,,,,,,,,,,,Bulgaria,438,Opposite,,,,1965-10-06,210,,,,,,,,6689,,46,,,,,
Dore Della Lunga,Volleybox,1,325,1736.90,,,,523,,,342,439,,,,,,,Italy,,Outside Hitter,,,,1984-07-25,195,,,,,,,,8092,,58,,87,,5188,
Vladimir Melnik,Volleybox,0,338,1735.20,,,,154,,,347,,,,,,,,Russia,440,Outside Hitter,,,,1980-07-21,200,,,,,,,,5899,,55,,95,,,
William Carvalho da Silva,marciovolley,0,,1731.20,,,,52,,,,441,,,,,,,Brazil,,Setter,,,,1954-11-16,185,,,,,,,,4258,,81,,83,,564,
Hendrik Tuerlinckx,,5,338,1728.35,,,,546,,,355,442,,,,,,295,Belgium,,Opposite,,,2 years ago,1987-12-01,195,Right,,,,,,,20648,,92,,86,,4610,
Sebastian Garrocq,Volleybox,8,302,1725.45,,,,66,,,310,,,,,,,,Argentina,443,Libero,,,,1979-11-27,170,,,,,,,,3699,,50,,63,,,
Mike Van de Goor,Ronan Caroff,1,322,1723.90,,,,26,,,350,,,,,,,,Netherlands,444,Opposite,,,,1973-05-14,207,,,,,,,,2778,,71,,96,,,
Miloš Nikić,Volleybox,0,330,1718.65,,,,297,,,350,,,,,,,,Serbia,445,Outside Hitter,,,,1986-03-31,194,,,,,,,,15169,,75,,79,,,
Katsutoshi Tsumagari,Volleybox,10,315,1716.45,,,,188,,,320,446,,,,,,,Japan,,Libero,,,,1975-11-02,183,,,,,,,,2987,,75,,75,,1627,
Konstantin Reva,tomof78,2,,1715.00,,,,0,,,,,,,,,,,Russia,447,Outside Hitter,,,,1921-04-10,184,,,,,,,,1329,,27,,,,2281,
Sulaiman Saad,przemek16,6,315,1714.19,,,,134,,,320,,,,,,,362,Qatar,448,Libero,,,,1987-06-30,182,,,,,,,,5895,,111,,79,,,
Kyung-Soo Lee,Volleybox,10,315,1710.95,,,,160,,,332,449,,,,,,,South Korea,,Outside Hitter,,,,1979-04-27,198,,,,,,,,3518,,68,,90,,3607,
Yun-Chang Jang,WoohyongChoi,10,,1710.90,,,,23,,,,450,,,,,,,South Korea,,Opposite,,,,1960-09-10,195,Left,,,,,,,916,,70,,,,2477,
André Lopes,Volleybox,5,332,1710.71,,,,376,,,342,451,,,,,,261,Portugal,,Outside Hitter,,,,1982-09-12,193,,,,,,,,8422,,91,,86,,,
Raimonds Vilde,Ainars,0,,1710.70,,,,53,,,,452,,,,,,,Latvia,,Middle-blocker,,,,1962-08-19,200,Right,,,,,,,2438,,67,,104,,1718,
Jiří Novák,Volleybox,1,328,1708.85,,,,733,,,344,453,,,,,,,Czech Republic,,Outside Hitter,,,,1974-11-19,197,Right,,,,,,,7224,,102,,85,,783,
Ulaş Kıyak,Volleybox,4,300,1707.20,,,,274,,,322,,,,,,,195,Turkey,454,Setter,,,,1981-08-11,187,,,,,,,,19245,,78,,82,,,
Ilyas Kurkaev,soidensir3,11,335,1706.85,,,,366,,,370,,,,,,,,Russia,455,Middle-blocker,,,,1994-01-18,208,Right,,,,,,,14925,,55,,98,,,
Trévor Clévenot,justVolleycom,4,326,1704.40,,,,399,,,345,,,,,,,270,France,456,Outside Hitter,,,,1994-06-28,199,Right,,,,,,,36740,,62,,90,,,
Hasan Yeşilbudak,Volleybox,6,315,1703.35,,,,267,,,330,,,,,,,195,Turkey,457,Libero,,,,1984-01-11,190,,,,,,,,7642,,70,,80,,,
Hristo Tsvetanov,,3,330,1701.44,,,,251,,,345,458,,,,,,,Bulgaria,,Middle-blocker,,,3 months ago,1978-03-29,198,,,,,,,,14705,,101,,85,,4151,
Roman Martynyuk,Volleybox,4,310,1701.30,,,,379,,,325,,,,,,,,Russia,459,Libero,,,,1987-04-13,182,,,,,,,,6885,,67,,73,,,
Ahmet Toçoğlu,,1,339,1701.05,,,,84,,,354,,,,,,,,Turkey,460,Middle-blocker,,,2 years ago,1980-03-13,202,Right,,,,,,,8686,,65,,,,,
Yuri Cherednik,Volleybox,0,,1699.80,,,,166,,,,461,,,,,,,Russia,,Outside Hitter,,,,1966-06-25,203,,,,,,,,4504,,89,,101,,445,
Riley Salmon,Volleybox,1,331,1697.70,,,,139,,,345,462,,,,,,,USA,,Outside Hitter,,,,1976-07-02,198,,,,,,,,6663,,54,,89,,,
Jakub Jarosz,Volleybox,4,335,1696.90,,,,335,,,360,,,,,,,439,Poland,463,Opposite,,,,1987-02-10,197,,,,,,,,10003,,60,,94,,,
Christian Dünnes,Volleybox,5,322,1696.35,,,,143,,,338,,,,,,,,Germany,464,Outside Hitter,,,,1984-06-15,207,,,,,,,,6939,,55,,105,,,
Paweł Papke,,,,1694.24,,,196,,4569,Atakujący,,,348,,,1977-02-13,,,,,,465,80,,,,,Polska,,,338,Volleybox,,,,,,,,,
Takaaki Tomimatsu,soidensir3,11,,1692.95,,,,278,,,330,466,,,,,,,Japan,,Middle-blocker,,,,1984-07-20,191,,,,,,,,6337,,77,,85,,5325,
Ludovic Castard,Volleybox,3,325,1684.30,,,,579,,,348,,,,,,,,France,467,Opposite,,,,1983-01-18,195,,,,,,,,6291,,75,,85,,,
Valeriy Goryushev,marciovolley,0,341,1680.75,,,,15,,,353,,,,,,,,Russia,468,Outside Hitter,,,,1973-04-26,198,,,,,,,,1665,,53,,89,,,
Konstantin Čupković,Volleybox,5,325,1679.89,,,,409,,,360,,,,,,,494,Serbia,469,Outside Hitter,,,,1987-01-02,205,,,,,,,,21158,,80,,89,,,
Stefano Margutti,Volleybox,1,,1677.55,,,,4,,,,,,,,,,,Italy,470,Opposite,,,,1968-03-04,198,,,,,,,,3680,,50,,74,,,
Matthijs Verhanneman,,3,320,1675.55,,,,586,,,352,,,,,,,58,Belgium,471,Outside Hitter,,,2 years ago,1988-12-08,198,Right,,,,,,,10473,,86,,98,,,
Dan Lewis,Volleybox,4,325,1674.50,,,,261,,,340,472,,,,,,,Canada,,Libero,,,,1976-04-03,190,,,,,,,,9222,,73,,88,,2716,
Ilya Vlasov,Volleybox,6,340,1673.55,,,,347,,,370,,,,,,,,Russia,473,Middle-blocker,,,,1995-08-03,212,,,,,,,,17979,,53,,98,,,
Robert Kromm,Volleybox,5,339,1671.05,,,,373,,,363,474,,,,,,,Germany,,Outside Hitter,,,,1984-03-09,212,,,,,,,,8641,,64,,92,,,
Yuki Ishikawa,Volleybox,20,330,1669.00,,,,283,,,355,,,,,,,282,Japan,475,Outside Hitter,,,,1995-12-11,192,Right,,,,,,,151214,,56,,84,,,
Mateusz Mika,Volleybox,3,320,1667.10,,,,340,,,354,,,,,,,245,Poland,476,Outside Hitter,,,,1991-01-21,207,,,,,,,,19128,,63,,85,,,
Ryan Millar,Volleybox,3,326,1666.90,,,,49,,,354,,,,,,,,USA,477,Middle-blocker,,,,1978-01-22,204,,,,,,,,4861,,48,,98,,,
Blair Bann,Volleybox,11,295,1663.75,,,,296,,,314,478,,,,,,164,Canada,,Libero,,,,1988-02-26,184,,,,,,,,11918,,66,,84,,,
Gregory Berríos,Volleybox,13,299,1663.10,,,,206,,,305,479,,,,,,,Puerto Rico,,Libero,,,,1979-01-24,182,,,,,,,,6691,,64,,83,,2389,
